deconvolved_not deconvolved, bmaj, bmaj_error,bmin,bmin_error
deconvolved , 0.15189568859223532 , 0.03931500819905204 , 0.050575954068725365 , 0.017476881455356565
deconvolved , 0.20269016410986163 , 0.051622338468089474 , 0.008093701095326146 , 0.0163862931494929
deconvolved , 0.1599936549208928 , 0.048477626472616164 , 0.05968247450513022 , 0.022399529274559765
deconvolved , 0.4658275019824832 , 0.08555631491941623 , 0.07432054149386384 , 0.014980316451608931
deconvolved , 0.036375014993119015 , 0.012798620450030072 , 0.01434446814095819 , 0.01469988511148291
deconvolved , 0.08882227908407839 , 0.00890162010443804 , 0.051530498512040675 , 0.006330092473232352
deconvolved , 0.17003219414639423 , 0.0411239337237429 , 0.08196653405195807 , 0.02129395496262273
not deconvolved , 0.08556696410911777 , 0.02645331393221645 , 0.03513540931313783 , 0.005309178885230092
deconvolved , 0.03973432427752486 , 0.00791803148283829 , 0.016323117931651733 , 0.0073446297234238365
deconvolved , 0.05888097912717616 , 0.010974069137014736 , 0.030750513419816206 , 0.01064752927080096
deconvolved , 0.1667854419920485 , 0.025416633522796717 , 0.08808805710546858 , 0.014014843484151981
deconvolved , 0.03034070238411755 , 0.005277235722701806 , 0.023675753898905385 , 0.005346568078844319
deconvolved , 0.056535752386708375 , 0.008037602604004615 , 0.03667213294636299 , 0.007309595980804308
