deconvolved_not deconvolved, m0_value,m1_value,posangle_value,longitude_error,latidude_error,flux_value,flux_error,peak_value,peak_error
deconvolved , 2.7395753314280693 , -0.7662606583748242 , 124.0719992068282 , 0.002677404608592411 , 0.0023215372357942056 , 0.00014513569392222097 , 1.578304619691951e-05 , 0.00016655975854861188 , 1.281002539731379e-05
deconvolved , 2.7395678748186696 , -0.7662547470952077 , 168.03938237422955 , 0.0008354744327988699 , 0.001625581801298724 , 0.00011536911852885108 , 6.727906930204404e-06 , 0.00016767575811479506 , 6.695250679261065e-06
deconvolved , 2.739529301617309 , -0.7662672502228521 , 10.52692671037604 , 0.0023120823814881102 , 0.005657935830688108 , 0.000276064768498177 , 2.904175941801482e-05 , 0.00011082576837531326 , 9.344123874069015e-06
deconvolved , 2.739528609328171 , -0.7662672958333284 , 2.7911719183889767 , 0.003372485167430542 , 0.0074805287821665565 , 0.00014886166518580037 , 2.5968865946367854e-05 , 7.760108542095672e-05 , 1.0462547056354952e-05
deconvolved , 2.7395656796841754 , -0.7662931976471549 , 119.74824146013249 , 0.0009335688874952814 , 0.000997174971622138 , 0.00015268856680712603 , 1.0900866579678698e-05 , 0.0020035669015414028 , 8.584564623221108e-05
deconvolved , 2.739528450909596 , -0.7662925675351866 , 71.8557105670726 , 0.0009797509023680095 , 0.0007812341616566359 , 0.0018972949256357903 , 7.417578913550567e-05 , 0.0018099147330751198 , 5.0596131623457245e-05
deconvolved , 2.739520861425415 , -0.7662932348029174 , 13.601212138154125 , 0.0025708790310854336 , 0.004539253321256839 , 0.00010982487843219651 , 2.0848218350210113e-05 , 0.0002313651332541526 , 2.8878371419438032e-05
not deconvolved , 2.7395750646899066 , -0.7662603220602602 , 14.93528789421519 , 0.001467527691307232 , 0.0017993256622770644 , 5.01726208639404e-05 , 7.608803999639451e-06 , 5.8784893467513595e-05 , 4.86279312654399e-06
deconvolved , 2.739531279886624 , -0.7662588907736066 , 44.16113569777346 , 0.001264056615132372 , 0.0014339762603253522 , 8.395543784978746e-05 , 7.140373491565873e-06 , 0.0003296284068529315 , 1.7571932186192236e-05
not deconvolved , 2.7395329946870115 , -0.7662689529020135 , 176.2382790921825 , 0.0007053697039295009 , 0.0013412761893703835 , 5.751668127338095e-05 , 3.790214876856415e-06 , 4.507497876271749e-05 , 1.8279577426111022e-06
not deconvolved , 2.739530365560913 , -0.7662646376590859 , 2.5910142288349225 , 0.0007631973484846656 , 0.0022329260611315092 , 4.451669091973583e-05 , 3.9069336802885265e-06 , 3.362728968960701e-05 , 1.794415079382636e-06
not deconvolved , 2.7395326967541687 , -0.7662665845759334 , 160.15883885453692 , 0.004563541332583748 , 0.011356995004644885 , 4.1731871299186945e-05 , 1.274339328997669e-05 , 2.5827249562170224e-05 , 4.884065927879969e-06
deconvolved , 2.7395374455866035 , -0.7662701722933806 , 178.27700545192212 , 0.0007192581570345132 , 0.0010087299108246684 , 0.00010752966725034385 , 6.53255535595256e-06 , 0.0006876077490470515 , 2.5370453825303383e-05
deconvolved , 2.7395316278991544 , -0.766292565219987 , 57.68023409595378 , 0.005665950547996229 , 0.004998418662472689 , 8.015356151903779e-05 , 1.611279610702625e-05 , 5.351964924295142e-05 , 8.04224433841622e-06
deconvolved , 2.7395256889563067 , -0.7662704915509643 , 26.938831706101535 , 0.0034551840389986654 , 0.004192758953921979 , 9.067978243640537e-05 , 1.320776347904135e-05 , 5.6282233899894307e-05 , 6.1659975707937065e-06
not deconvolved , 2.7395760536588907 , -0.7662611110504671 , 170.77044774511887 , 0.0016511498702491123 , 0.0032879165424221624 , 4.837033936632454e-05 , 8.607292986462249e-06 , 4.428912347847061e-05 , 4.5864757297588776e-06
deconvolved , 2.739562633676908 , -0.7662817761308679 , 118.29333847883733 , 0.004054701623069868 , 0.003158740347480743 , 6.704738908203348e-05 , 1.286424346972688e-05 , 0.0002624580972558572 , 3.314091158211924e-05
not deconvolved , 2.7394990002004667 , -0.7662823872614797 , 16.11226917770812 , 0.0018319360059758083 , 0.0038459562322177886 , 5.3544756070562834e-05 , 9.530047288445187e-06 , 4.4381227790178654e-05 , 4.691941383919904e-06
not deconvolved , 2.739521008970868 , -0.7662690796854525 , 32.65415968848019 , 0.002889823240077319 , 0.003847115856779432 , 2.260311015980059e-05 , 5.829437764134012e-06 , 2.381925836683917e-05 , 3.3892776175806478e-06
not deconvolved , 2.7395374395890153 , -0.7662689735599401 , 0.4531701680368309 , 0.004130262970739141 , 0.008060628758634055 , 1.700395983606982e-05 , 6.6963038157448805e-06 , 1.3399574603306564e-05 , 3.239012351382481e-06
